number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
68,0.861051853492695,2026-03-01 13:55:16.823134,2026-03-01 13:55:18.446980,0 days 00:00:01.623846,0.6329607200528854,68,2.143554124930144,0.03856972608466608,7,0.3933619157828043,1881,0.024574262354970115,0.023414584545350985,0.5890459805079507,0.7393275901739232,0.864276143444636,,COMPLETE
69,0.8703969671870635,2026-03-01 13:55:18.449497,2026-03-01 13:55:19.092271,0 days 00:00:00.642774,0.718527569873797,69,2.291784154992389,0.04461221788022999,8,0.6173386470691357,1808,0.013313948293436843,0.013369055179765011,0.5399142355816582,0.7612597125360886,0.8703969671870635,,PRUNED
70,0.8624634020668202,2026-03-01 13:55:19.094616,2026-03-01 13:55:20.459756,0 days 00:00:01.365140,0.6198367376662409,73,1.8314464559402013,0.050720979890929815,7,0.25602568331002457,2031,0.00829179383284518,0.03510697214313571,0.5975470976821349,0.7492328996431786,0.8624634020668202,,PRUNED
71,0.870028580096503,2026-03-01 13:55:20.461868,2026-03-01 13:55:20.983779,0 days 00:00:00.521911,0.6373216851151559,65,2.56863951319397,0.0339748163534686,7,0.9234487385729526,1899,0.024955087865587085,0.024698071704414695,2.2951557498564745,0.7384350143093484,0.870028580096503,,PRUNED
72,0.860961562539126,2026-03-01 13:55:20.986794,2026-03-01 13:55:22.537264,0 days 00:00:01.550470,0.6580064789587163,69,2.112635240435351,0.038541766023656984,7,0.4137382526160277,1601,0.05105765529805396,0.022936279516197502,0.5838190608108931,0.7667331945175008,0.8714076239273435,0.8632630789455943,COMPLETE
73,0.8709772370486657,2026-03-01 13:55:22.540788,2026-03-01 13:55:23.209816,0 days 00:00:00.669028,0.6281367923861244,66,2.42448248737735,0.06993423271627669,7,0.5804940341400673,2144,0.020172000407111774,0.013707002504084817,0.5531745261712983,0.7179822894694984,0.8709772370486657,,PRUNED
74,0.8607662933035414,2026-03-01 13:55:23.211813,2026-03-01 13:55:25.295847,0 days 00:00:02.084034,0.681494187902956,63,2.004638136790414,0.0303619067242437,7,0.3521389147251363,1813,0.04413192606769536,0.04924867067753548,0.6374850212572932,0.7530986352878214,0.8634382433955177,,COMPLETE
75,0.8608765686548334,2026-03-01 13:55:25.298353,2026-03-01 13:55:26.922867,0 days 00:00:01.624514,0.6121701929653103,73,2.6552840989503848,0.038852733690874115,8,0.27299771586078486,1966,0.02842017212023218,0.02100818390406696,0.7209503940047124,0.7380326292366572,0.8634328259383037,,COMPLETE
76,0.8626051588639232,2026-03-01 13:55:26.924969,2026-03-01 13:55:28.027483,0 days 00:00:01.102514,0.6618411936037489,71,2.249716416003255,0.05297459639308249,8,0.8418416240166547,1607,0.01870338632905247,0.038807637617373165,0.5397798845599455,0.9080859735954705,0.8626051588639232,,PRUNED
77,0.8696890861110843,2026-03-01 13:55:28.032982,2026-03-01 13:55:28.561914,0 days 00:00:00.528932,0.7289682773100957,68,1.7980258509653972,0.022146785965497608,10,1.2308607600586428,2227,0.08932957297093978,0.01053246908986608,0.6704320915145637,0.7857157746096306,0.8696890861110843,,PRUNED
